state,name,pop,politics
1,Alabama,4903185,Republican
2,Alaska,731545,Republican
3,Arizona,7278717,Democratic
4,Arkansas,3017804,Republican
5,California,39512223,Democratic
6,Colorado,5758736,Democratic
7,Connecticut,3565287,Democratic
8,Delaware,973764,Democratic
9,Florida,21477737,Republican
10,Georgia,10617423,Republican
11,Hawaii,1415872,Democratic
12,Idaho,1787065,Republican
13,Illinois,12671821,Democratic
14,Indiana,6732219,Republican
15,Iowa,3155070,Republican
16,Kansas,2913314,Republican
17,Kentucky,4467673,Republican
18,Louisiana,4648794,Republican
19,Maine,1344212,Democratic
20,Maryland,6045680,Democratic
21,Massachusetts,6892503,Democratic
22,Michigan,9986857,Democratic
23,Minnesota,5639632,Democratic
24,Mississippi,2976149,Republican
25,Missouri,6137428,Republican
26,Montana,1068778,Republican
27,Nebraska,1934408,Republican
28,Nevada,3080156,Democratic
29,New Hampshire,1359711,Democratic
30,New Jersey,8882190,Democratic
31,New Mexico,2096829,Democratic
32,New York,19453561,Democratic
33,North Carolina,10488084,Republican
34,North Dakota,762062,Republican
35,Ohio,11689100,Republican
36,Oklahoma,3956971,Republican
37,Oregon,4217737,Democratic
38,Pennsylvania,12801989,Democratic
39,Rhode Island,1059361,Democratic
40,South Carolina,5148714,Republican
41,South Dakota,884659,Republican
42,Tennessee,6829174,Republican
43,Texas,28995881,Republican
44,Utah,3205958,Republican
45,Vermont,623989,Democratic
46,Virginia,8535519,Democratic
47,Washington,7614893,Democratic
48,West Virginia,1792147,Republican
49,Wisconsin,5822434,Democratic
50,Wyoming,578759,Republican
